word,series_frequency,english_frequency,vocabulary_level
resided,1,882941,N/A
slum,1,1081148,N/A
mansion,1,4816737,C1
sovereign,1,4030398,N/A
washer,1,7726456,N/A
witch,1,8574215,C1
cutter,1,6482016,N/A
drumming,1,948407,N/A
stood,1,11116275,N/A
watched,1,10266154,N/A
brow,1,1785365,N/A
reap,1,1940421,N/A
belly,1,8199698,N/A
scrape,1,956419,N/A
sacrifice,1,7131915,C1
crown,1,18024012,N/A
speculating,1,309823,N/A
brass,1,14350643,C1
significance,1,9997058,C1
beating,1,5235058,N/A
artillery,1,2577825,N/A
recognise,1,3685011,N/A
mumping,1,0,N/A
loaded,1,13714028,N/A
fell,1,15337043,N/A
sideboard,1,499225,N/A
harder,1,8956549,N/A
stallion,1,2155115,N/A
mare,1,3604590,N/A
handing,1,1439044,N/A
recruiting,1,9662362,N/A
protestant,1,3015549,N/A
clearing,1,6145765,N/A
payroll,1,8702213,N/A
telling,1,14181895,N/A
sedition,1,369327,N/A
crossed,1,4962660,N/A
smite,1,292179,N/A
unholy,1,638652,N/A
wicked,1,6486222,C2
wickedness,1,508529,N/A
fornication,1,256543,N/A
revealed,1,13042465,N/A
almighty,1,1780004,N/A
hiding,1,4565153,N/A
knowing,1,14410719,N/A
listening,1,19542217,N/A
guessing,1,2131003,N/A
gin,1,2126451,N/A
picked,1,12114899,N/A
crate,1,3263115,N/A
dropped,1,12265666,N/A
ammunition,1,2613857,N/A
semi,1,16450653,N/A
rifle,1,7095437,N/A
pistol,1,4580130,N/A
sitting,1,18868156,N/A
threw,1,4410853,N/A
greased,1,455655,N/A
robber,1,1385091,N/A
fallen,1,7714660,N/A
contraband,1,455603,N/A
wane,1,385397,N/A
devilment,1,0,N/A
crush,1,3904494,C2
sneaking,1,498814,N/A
barmaid,1,94689,N/A
boyhood,1,382892,N/A
melting,1,2727230,N/A
stopped,1,14956865,N/A
discarded,1,2287290,N/A
eggshell,1,242247,N/A
pierced,1,2018684,N/A
punctured,1,216312,N/A
thruppence,1,0,N/A
rutted,1,50672,N/A
degradation,1,4281089,N/A
beggar,1,1131399,N/A
astride,1,170109,N/A
stinking,1,397912,N/A
vicious,1,2331876,C2
merciless,1,345490,C2
bribe,1,1190670,C1
soiling,1,232240,N/A
blacker,1,248383,N/A
puss,1,553931,N/A
corruption,1,8739154,C1
swell,1,2580335,N/A
swarm,1,1446604,N/A
headed,1,10058504,N/A
beast,1,16763421,N/A
decapitate,1,30201,N/A
yous,1,222646,N/A
bolster,1,1348859,N/A
fearing,1,1033027,N/A
sworn,1,2332355,N/A
cosh,1,455678,N/A
introducing,1,7835494,N/A
argh,1,556652,N/A
aye,1,8638435,N/A
dealing,1,19196259,N/A
sniffing,1,728863,N/A
vein,1,5366586,C1
cunning,1,979573,C2
guile,1,1026260,N/A
scum,1,979574,N/A
goalie,1,1329458,N/A
warned,1,5292851,N/A
trained,1,13608102,N/A
giggling,1,396860,N/A
learnt,1,2228719,N/A
patriot,1,8170850,N/A
waving,1,1399803,N/A
merry,1,6367037,N/A
robin,1,12594935,N/A
aargh,1,71592,N/A
bayonet,1,713305,N/A
beaver,1,12530885,N/A
settling,1,2277106,N/A
begun,1,8636352,N/A
interrogate,1,285248,N/A
vigorously,1,1148581,N/A
broke,1,10460811,N/A
nest,1,6735749,C2
stole,1,3091656,N/A
chose,1,9409845,N/A
stolen,1,7341424,N/A
buried,1,7228389,N/A
accounted,1,3850232,N/A
aboard,1,4080258,C1
mooring,1,1176317,N/A
interrogated,1,318836,N/A
brute,1,1349897,N/A
younger,1,11985957,N/A
gallantry,1,203113,N/A
finest,1,9668295,N/A
manhood,1,662829,N/A
drain,1,7894408,C2
barbarity,1,99030,N/A
dispatch,1,6966884,N/A
apprenticeship,1,2462581,N/A
foremen,1,119398,N/A
sergeant,1,3409151,N/A
bleak,1,1088632,C2
midwinter,1,348537,N/A
gunshot,1,546547,N/A
quid,1,748457,N/A
checked,1,15762226,N/A
