word,series_frequency,english_frequency,vocabulary_level
court,1,146511680,B1
charge,1,93253122,B1
council,1,118875527,B2
action,1,205281887,B1
human,1,173302782,B1
law,1,261576660,B1
living,1,107270041,B2
experience,1,161263150,B1
reference,1,164876016,B2
upon,1,103921220,B2
feed,1,94257521,B1
lead,1,98832739,B1
whether,1,105014961,B1
within,1,261390908,B1
power,1,246570236,B1
gallery,1,213580127,B1
deal,1,155018212,B2
state,1,714041148,B2
network,1,286292299,B2
agent,1,106654961,B2
act,1,164763850,B1
sale,1,352468790,B2
agreement,1,129065137,B2
strategy,1,94031020,B2
position,1,114461372,B1
personal,1,239216761,B1
request,1,160860157,B1
major,1,127337348,B2
