word,series_frequency,english_frequency,vocabulary_level
upside,1,2921449,N/A
civilian,1,10342678,C2
ruddy,1,387590,N/A
waterloo,1,4287347,N/A
lived,1,18050710,N/A
beth,1,6597110,N/A
davenport,1,3061454,N/A
preliminary,1,13612160,C1
resemble,1,3232978,C1
patterson,1,4688373,N/A
phillimore,1,41538,N/A
ongoing,1,16983414,C2
indication,1,9863501,C1
administered,1,7379068,N/A
precaution,1,4308456,C1
buzz,1,7959816,C2
bruis,1,618130,N/A
refreshed,1,1005937,N/A
landline,1,950480,N/A
leap,1,5837736,C2
mortuary,1,795177,N/A
invalided,1,13588,N/A
walked,1,10905602,N/A
sentenced,1,3273030,N/A
executed,1,8879901,N/A
ensured,1,1588066,N/A
straighten,1,778455,N/A
forensic,1,5501352,N/A
dashing,1,470775,N/A
cuppa,1,155780,N/A
detectif,1,1417524,N/A
invented,1,3607460,N/A
trained,1,13608102,N/A
tanned,1,1915011,N/A
sunbathing,1,459581,N/A
suntan,1,182600,N/A
limp,1,2402938,N/A
engraving,1,2737306,N/A
gadget,1,16113702,C1
sentiment,1,3846142,C2
liked,1,11282738,N/A
scuff,1,385805,N/A
shaking,1,3005624,N/A
sober,1,1721953,C2
drinker,1,1649729,N/A
harriet,1,2719241,N/A
freak,1,6388750,N/A
invited,1,14757576,N/A
waited,1,3938627,N/A
bringing,1,15970507,N/A
contaminated,1,4421206,N/A
vaporised,1,0,N/A
implying,1,1137239,N/A
scrubbed,1,1123114,N/A
rache,1,61081,N/A
returning,1,12197026,N/A
lying,1,8260845,N/A
hoping,1,8825881,N/A
deeper,1,6910132,N/A
asphyxiation,1,105693,N/A
choked,1,575811,N/A
vomit,1,816681,C2
seizure,1,4476745,N/A
alarming,1,1245253,C1
shinier,1,36130,N/A
polishing,1,1788195,N/A
unused,1,5028967,N/A
dried,1,6331606,N/A
radius,1,8985161,N/A
organiser,1,3788772,N/A
dragging,1,1732154,N/A
wheeled,1,1635339,N/A
smallish,1,178621,N/A
coordinate,1,15138068,N/A
weirder,1,136795,N/A
abruptly,1,1051602,C2
whir,1,100120,N/A
anthea,1,124226,N/A
avoiding,1,5155816,N/A
discreet,1,3245038,C2
