word,series_frequency,english_frequency,vocabulary_level
was,63,1483428678,N/A
are,57,2395433165,N/A
got,42,145268693,N/A
did,35,275450874,N/A
going,31,155862313,N/A
been,20,575087223,N/A
were,16,570712602,N/A
has,14,1046319984,N/A
doing,13,81188350,N/A
said,13,315595259,N/A
alway,13,127836367,N/A
had,12,480345947,N/A
being,10,248842629,N/A
looking,10,150610176,N/A
doe,9,321965419,N/A
done,7,102841314,N/A
lot,6,150766298,N/A
given,5,126028149,N/A
making,4,124399532,N/A
getting,4,93506861,N/A
seen,4,78381896,N/A
used,3,421438139,N/A
seem,3,92129504,N/A
children,3,214638176,N/A
taken,2,87019836,N/A
able,2,109641322,C2
men,2,196195250,N/A
media,2,216432510,N/A
status,2,129192453,C1
