word,series_frequency,english_frequency,vocabulary_level
written,1,98056850,B1
session,1,76649383,B1
appear,1,75869839,B1
natural,1,112420500,B1
central,1,113871303,B1
deal,1,155018212,B2
career,1,118593195,B1
item,1,627040260,B1
previous,1,201692678,B1
owner,1,118769765,B1
power,1,246570236,B1
state,1,714041148,B2
credit,1,208258495,B1
detail,1,326322175,B1
medical,1,155317159,B2
rule,1,155571063,B1
analysis,1,124949540,B2
professional,1,156233340,B1
within,1,261390908,B1
main,1,202268783,B1
security,1,252411152,B1
continue,1,100662818,B1
association,1,124349602,B2
exchange,1,86303087,B1
relationship,1,77810078,B1
fee,1,105897007,B1
object,1,103664426,B1
charge,1,93253122,B1
human,1,173302782,B1
research,1,312377267,B1
effort,1,78950684,B1
such,1,380740926,B2
account,1,245941633,B1
password,1,138444293,B1
vehicle,1,91333573,B1
reference,1,164876016,B2
stuff,1,82013389,B1
known,1,86436041,B2
education,1,266924459,B1
planning,1,103878661,B2
option,1,199396630,B1
whether,1,105014961,B1
following,1,221359876,B2
voice,1,75729708,B1
public,1,349615053,B1
common,1,123227086,B1
weight,1,97000327,B1
position,1,114461372,B1
active,1,84084764,B1
