word,series_frequency,english_frequency,filter_reason,vocabulary_level
sorry,27,35595812,Oxford 3000,A1
mrs,14,12206596,Vocabulary level below C (A1),A1
taxi,13,7292568,Oxford 3000,A1
suicide,13,11774872,Vocabulary level below C (B2),B2
took,13,66297175,"High English frequency (66,297,175 > 20,000,000)",N/A
suitcase,12,1243043,Vocabulary level below C (A2),A2
clever,12,4865097,Oxford 3000,A1
cab,11,10087908,Vocabulary level below C (B1),B1
told,11,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
serial,10,28576941,"High English frequency (28,576,941 > 20,000,000)",C1
chance,10,51442371,Oxford 3000,B1
murderer,10,2032414,Vocabulary level below C (B1),B1
bottle,10,26036737,Oxford 3000,A2
pink,9,42077063,Oxford 3000,A2
wrong,9,49934294,Oxford 3000,A1
killer,9,13812346,Vocabulary level below C (B1),B1
shot,9,61225531,Oxford 3000,B2
nice,9,69395609,Oxford 3000,A1
fine,9,75242969,Oxford 3000,A1
maybe,9,51946944,Oxford 3000,A2
met,9,45111009,"High English frequency (45,111,009 > 20,000,000)",N/A
pill,9,26516244,"High English frequency (26,516,244 > 20,000,000)",B1
enemy,9,20766378,Oxford 3000,B1
kill,9,31335290,Oxford 3000,A2
nothing,8,73363579,Oxford 3000,A2
murder,8,17118348,Oxford 3000,B1
brother,8,56375413,Oxford 3000,A1
police,8,64560602,Oxford 3000,A2
knew,7,31636418,"High English frequency (31,636,418 > 20,000,000)",N/A
detective,7,5353706,Oxford 3000,B1
yourself,7,53653034,Oxford 3000,A2
dead,7,48412882,Oxford 3000,A2
victim,7,27517312,Oxford 3000,B2
trust,6,61432231,Oxford 3000,B1
mine,6,34337711,Oxford 3000,A2
clearly,6,32338676,Oxford 3000,A2
happened,6,24951096,"High English frequency (24,951,096 > 20,000,000)",N/A
obviously,6,15702193,Oxford 3000,B1
round,6,67565012,Oxford 3000,A2
brilliant,6,10323824,Oxford 3000,A2
dear,6,20825714,Oxford 3000,A1
wait,6,41363575,Oxford 3000,A1
daughter,6,33796898,Oxford 3000,A1
happen,5,47239250,Oxford 3000,A2
happy,5,63486618,Oxford 3000,A1
shock,5,17917684,Oxford 3000,B1
inspector,5,11560961,Vocabulary level below C (B2),B2
ignore,5,15953487,Oxford 3000,B2
saying,5,38415068,Easy word (easy_words.csv),C2
upstair,5,2573007,Oxford 3000,N/A
military,5,71379973,Oxford 3000,B2
flat,5,51599402,Oxford 3000,A1
leg,5,39781266,Oxford 3000,A1
exactly,5,31759653,Oxford 3000,A2
crime,5,50877596,Oxford 3000,B1
obvious,5,15533662,Oxford 3000,B1
walk,5,46873435,Oxford 3000,A1
shut,5,12663576,Oxford 3000,A2
outside,5,67458757,Oxford 3000,A1
probably,5,61626696,Oxford 3000,A2
mistake,5,18974243,Oxford 3000,A2
nobody,5,14624173,Easy word (easy_words.csv),A2
alert,5,55193166,"High English frequency (55,193,166 > 20,000,000)",C1
proper,5,28099582,Oxford 3000,B1
husband,4,25002557,Oxford 3000,A1
sir,4,20704773,Oxford 3000,B1
poison,4,5780004,Oxford 3000,B2
themself,4,47355436,Oxford 3000,N/A
mike,4,51136599,"High English frequency (51,136,599 > 20,000,000)",N/A
somewhere,4,14335599,Oxford 3000,A2
army,4,46902606,Oxford 3000,C2
coat,4,16314807,Oxford 3000,A1
iraq,4,53510329,"High English frequency (53,510,329 > 20,000,000)",N/A
evening,4,36714169,Oxford 3000,A1
doctor,4,58058321,Oxford 3000,A1
possibly,4,18672516,Oxford 3000,A2
wife,4,47510357,Oxford 3000,A1
quite,4,58809324,Oxford 3000,A2
skull,4,5445452,Easy word (easy_words.csv),C2
married,4,30232332,Oxford 3000,A2
interesting,4,46983244,Oxford 3000,A1
girlfriend,4,7838114,Oxford 3000,A2
whatever,4,31901912,Oxford 3000,B1
trying,4,57462639,"High English frequency (57,462,639 > 20,000,000)",N/A
german,4,56375982,"High English frequency (56,375,982 > 20,000,000)",N/A
lover,4,19192091,Vocabulary level below C (B1),B1
