word,series_frequency,english_frequency,vocabulary_level
suicide,13,11774872,B2
cabbie,7,143093,B2
inspector,5,11560961,B2
dying,5,9123557,B2
flatmate,4,426841,B2
wearing,4,12401524,B2
lipstick,4,2327506,B2
sergeant,4,3409151,B2
bust,4,5258179,B2
idiot,3,6496256,B2
housekeeper,3,721064,B2
warned,3,5292851,B2
texted,3,40079,B2
cleared,3,6097495,B2
childish,3,872504,B2
putting,3,18519708,B2
bluff,3,4956500,B2
mummy,3,2196240,B2
investigating,2,4884687,B2
alibi,2,448710,B2
wondering,2,9239585,B2
landlady,2,201334,B2
needing,2,3515408,B2
lifetime,2,14825369,B2
tan,2,9956175,B2
supposed,2,14497557,B2
letting,2,9131661,B2
guessing,2,2131003,B2
frankly,2,3169461,B2
travelled,2,2294125,B2
intending,2,1074805,B2
damp,2,1901146,B2
splash,2,4340884,B2
driven,2,17723706,B2
bravery,2,904631,B2
distracting,2,707133,B2
recognised,2,6297911,B2
blacked,2,197675,B2
doorbell,2,543116,B2
triple,2,13408244,B2
losing,2,12607223,B2
ridiculous,2,3486556,B2
copper,2,14648423,B2
wasting,2,2791022,B2
dreadful,2,1240347,B2
