word,series_frequency,english_frequency,vocabulary_level
chatter,8,2012283,N/A
elevator,7,5679738,N/A
indistinct,6,195751,N/A
dude,6,7556738,N/A
woo,5,2718146,N/A
ding,4,1857760,N/A
stepping,4,3348507,N/A
kinda,4,5660928,N/A
boo,4,2884230,N/A
buzz,3,7959816,C2
chime,3,2589320,N/A
pal,3,12781647,N/A
talked,3,9582713,N/A
goo,3,3878783,N/A
joking,3,1059257,N/A
grunt,2,899946,N/A
clatter,2,157981,N/A
shiz,2,48484,N/A
outfit,2,5973389,N/A
floated,2,743248,N/A
joining,2,10606585,N/A
screwed,2,2270111,N/A
smelled,2,666832,N/A
grown,2,13931521,N/A
blazer,2,3363856,N/A
finessing,2,17124,N/A
congrat,2,2038241,N/A
goin,2,2219412,N/A
whimpering,2,101664,N/A
congratulation,2,6940167,N/A
boom,2,8393246,N/A
sourdough,2,334547,N/A
starter,2,12705144,N/A
sitting,2,18868156,N/A
voting,2,18826221,N/A
pending,2,12509596,N/A
rehab,2,6683000,N/A
gore,2,6445307,N/A
razzing,2,0,N/A
appealing,2,3480503,N/A
disclosure,2,17529729,N/A
fainted,2,209474,N/A
hemorrhage,2,1057994,N/A
beeping,2,171157,N/A
overlapping,2,2088603,N/A
