word,series_frequency,english_frequency,vocabulary_level
snoring,1,944941,N/A
grunting,1,146936,N/A
panting,1,340695,N/A
breathing,1,6778253,N/A
urinating,1,255567,N/A
latin,1,36779697,N/A
brownstone,1,296673,N/A
skyscraper,1,1178725,N/A
fighter,1,13713194,N/A
trader,1,11161839,C2
vintage,1,32315949,N/A
shareholder,1,12009696,N/A
inconvenienced,1,100655,N/A
letting,1,9131661,N/A
neanderthal,1,331020,N/A
bloated,1,630335,N/A
swinging,1,3501986,N/A
founding,1,4765875,N/A
junk,1,6529268,C1
salvage,1,2646721,N/A
sweeten,1,226930,N/A
started,1,77515342,N/A
pushing,1,5952141,N/A
exhale,1,373375,N/A
floating,1,8519508,N/A
ether,1,2189137,N/A
geezer,1,351493,N/A
span,1,10722811,N/A
catapult,1,606289,N/A
lif,1,43191570,N/A
pitched,1,1648460,N/A
gagging,1,708679,N/A
vomit,1,816681,C2
puking,1,143677,N/A
vomiting,1,2086485,N/A
protein,1,69658631,C1
smoked,1,3117683,N/A
hitchhiker,1,1302707,N/A
picked,1,12114899,N/A
raining,1,1392293,N/A
sexually,1,5310148,N/A
assaulted,1,812496,N/A
seen,1,78381896,N/A
doobie,1,301126,N/A
skunk,1,1105862,N/A
weed,1,8672017,C2
budge,1,418361,N/A
badillion,1,0,N/A
sent,1,68953120,N/A
sage,1,8363801,N/A
auspicious,1,364312,N/A
alchemist,1,1390707,N/A
smokey,1,1240190,N/A
saging,1,0,N/A
juju,1,255786,N/A
cabana,1,573027,N/A
commercially,1,3100614,N/A
intern,1,5157525,N/A
mwah,1,117335,N/A
giggle,1,1278396,C2
instructing,1,551625,N/A
heading,1,14092627,C1
ordered,1,20046781,N/A
poll,1,44217139,N/A
strategize,1,118267,N/A
awed,1,226844,N/A
worth,1,48099042,N/A
illiquid,1,102237,N/A
putting,1,18519708,N/A
felt,1,33507506,N/A
checkin,1,2015018,N/A
housekeeping,1,2342524,N/A
amigo,1,1094662,N/A
aquifer,1,1999221,N/A
pumping,1,3568469,N/A
someday,1,3127732,N/A
shaking,1,3005624,N/A
cleaning,1,29304405,N/A
sis,1,3530367,N/A
burying,1,502926,N/A
counting,1,8122357,N/A
bout,1,3818689,N/A
suppose,1,11981451,C1
bodyguard,1,761930,N/A
beep,1,1708820,N/A
took,1,66297175,N/A
eyehole,1,0,N/A
primo,1,912120,N/A
sweetheart,1,2157453,N/A
mistakenly,1,784752,N/A
token,1,8285769,C1
enduring,1,2261346,N/A
buzzing,1,701772,N/A
shitshow,1,0,N/A
rustling,1,203837,N/A
losing,1,12607223,N/A
financing,1,23178607,N/A
acquisition,1,24444188,N/A
ambient,1,6064283,N/A
ranch,1,11407341,N/A
chortle,1,59103,N/A
opened,1,23076347,N/A
yeast,1,6351621,N/A
bet,1,19562562,C1
checked,1,15762226,N/A
margin,1,14529108,C2
skyped,1,0,N/A
seeing,1,26322092,N/A
hoping,1,8825881,N/A
coke,1,3602704,N/A
smeared,1,336066,N/A
ipad,1,29898,N/A
humorless,1,66938,N/A
coronation,1,1033026,N/A
demise,1,1580466,N/A
gif,1,55673869,N/A
signed,1,38369963,N/A
implication,1,15129147,C1
mentioned,1,28566238,N/A
considered,1,57378298,N/A
listening,1,19542217,N/A
staying,1,8900981,N/A
pole,1,13451713,C2
credibility,1,4212696,C2
engage,1,11228751,C1
shrug,1,1170168,C2
shrugging,1,105193,N/A
texting,1,229377,N/A
telling,1,14181895,N/A
lockdown,1,729222,N/A
maniac,1,1707068,N/A
juicing,1,163778,N/A
croak,1,200671,N/A
changed,1,45453557,N/A
nuthouse,1,58015,N/A
trash,1,7153973,C2
played,1,34970056,N/A
averse,1,426255,N/A
wha,1,673618,N/A
shouted,1,1660857,N/A
ripped,1,2642534,N/A
lawyered,1,0,N/A
trusted,1,14554254,N/A
accumulation,1,4484778,C2
paying,1,19621495,N/A
portfolio,1,29149729,N/A
upstream,1,4459299,N/A
crying,1,4891725,N/A
pap,1,2039251,N/A
changing,1,32076618,N/A
tank,1,30597037,C1
bought,1,31501377,N/A
tape,1,40660941,N/A
zing,1,329159,N/A
seating,1,9247768,N/A
clattering,1,65077,N/A
clothe,1,27345816,N/A
swell,1,2580335,N/A
tapping,1,1881871,N/A
born,1,52510893,N/A
raised,1,24397948,N/A
billboard,1,3127396,N/A
herd,1,3668940,N/A
largest,1,45314848,N/A
conglomerate,1,1130242,N/A
prime,1,39210803,C2
teller,1,2406402,N/A
wily,1,347116,N/A
arrived,1,15056872,N/A
crush,1,3904494,C2
technically,1,3818321,C1
occurred,1,19073806,N/A
holding,1,35015197,N/A
historically,1,4143489,C1
suboptimal,1,228445,N/A
willing,1,18418634,C2
perspicacious,1,18606,N/A
angle,1,21639451,C1
perhap,1,42450144,N/A
ideas,1,67309657,N/A
innovative,1,17689336,C1
thinker,1,2621397,C2
met,1,45111009,N/A
resistance,1,20449996,C2
olympic,1,19357764,N/A
operating,1,64046921,N/A
toss,1,2973864,N/A
shaken,1,1218549,C2
crude,1,5144979,C2
feeding,1,11620378,N/A
overseeing,1,1123972,N/A
pup,1,2733215,N/A
rehearse,1,317036,C1
stability,1,14501992,C1
psych,1,1482762,N/A
pitching,1,2575364,N/A
balletic,1,20432,N/A
starting,1,68080206,N/A
dreaming,1,3136420,N/A
batter,1,2228343,N/A
crunch,1,1962528,N/A
sweetie,1,1231301,N/A
slugger,1,527681,N/A
saying,1,38415068,C2
hearing,1,44863940,N/A
disloyal,1,114744,C2
smiling,1,3931929,N/A
incentivized,1,17206,N/A
goodness,1,3890474,C2
counted,1,5615635,N/A
fell,1,15337043,N/A
fattened,1,57302,N/A
goose,1,3739382,N/A
figurine,1,5678221,N/A
dildo,1,20789655,N/A
powering,1,753767,N/A
officially,1,7533785,C1
passed,1,33242084,N/A
con,1,38751986,N/A
sufficiently,1,5116122,C1
proposition,1,7591293,C1
giving,1,43506778,N/A
wheezing,1,341229,N/A
