word,series_frequency,english_frequency,vocabulary_level
are,41,2395433165,N/A
was,34,1483428678,N/A
got,21,145268693,N/A
did,12,275450874,N/A
going,11,155862313,N/A
were,9,570712602,N/A
bid,5,99360541,C1
said,5,315595259,N/A
been,5,575087223,N/A
lot,4,150766298,N/A
has,4,1046319984,N/A
had,4,480345947,N/A
non,4,196109547,N/A
media,3,216432510,N/A
made,3,287369575,N/A
done,3,102841314,N/A
looking,3,150610176,N/A
being,3,248842629,N/A
doe,2,321965419,N/A
having,2,109360096,N/A
color,2,140876675,N/A
called,2,106978150,N/A
