word,series_frequency,english_frequency,vocabulary_level
value,1,252007531,B1
interest,1,159511351,B1
care,1,230084008,B1
working,1,148966565,B1
provide,1,290254685,B1
net,1,121614179,B1
amount,1,121624115,B1
global,1,94529933,B2
living,1,107270041,B2
human,1,173302782,B1
error,1,127639827,B2
death,1,94459595,B1
weight,1,97000327,B1
professional,1,156233340,B1
step,1,124401569,B1
gay,1,173768672,B1
network,1,286292299,B2
few,1,135197144,B1
legal,1,142534967,B2
learning,1,117846796,B2
front,1,102871721,B1
force,1,113500318,B2
link,1,580329194,B1
source,1,242521687,B2
court,1,146511680,B1
press,1,182076415,B1
figure,1,114181526,B1
decision,1,102327643,B1
live,1,166005029,B1
average,1,106850389,B1
condition,1,244920039,B1
following,1,221359876,B2
major,1,127337348,B2
medical,1,155317159,B2
