word,series_frequency,english_frequency,vocabulary_level
chatter,8,2012283,B2
elevator,7,5679738,B2
dude,6,7556738,B2
woo,5,2718146,B2
ding,4,1857760,B2
chime,3,2589320,B2
clatter,2,157981,B2
shiz,2,48484,B2
outfit,2,5973389,B2
floated,2,743248,B2
screwed,2,2270111,B2
grown,2,13931521,B2
blazer,2,3363856,B2
congrat,2,2038241,B2
paperwork,2,3026360,B2
whimpering,2,101664,B2
swing,2,14979876,B2
congratulation,2,6940167,B2
ken,2,16590075,B2
sourdough,2,334547,B2
starter,2,12705144,B2
voting,2,18826221,B2
pending,2,12509596,B2
rehab,2,6683000,B2
scratch,2,9196206,B2
razzing,2,0,B2
appealing,2,3480503,B2
fainted,2,209474,B2
beeping,2,171157,B2
