word,series_frequency,english_frequency,vocabulary_level
unable,1,20295595,N/A
neurological,1,2367615,N/A
sent,1,68953120,N/A
psychiatrist,1,2307177,C2
blacked,1,197675,N/A
reached,1,22485293,N/A
acutely,1,515934,N/A
landed,1,3730816,N/A
duckling,1,396127,N/A
poop,1,1680358,N/A
cranberry,1,2925037,N/A
skinny,1,3345336,N/A
ramp,1,6021602,N/A
geographic,1,13269627,N/A
super,1,66861365,N/A
showed,1,22170303,N/A
skeet,1,365405,N/A
curfew,1,825736,N/A
hauling,1,1103666,N/A
nauseous,1,142924,N/A
pulling,1,5640701,N/A
taffy,1,411033,N/A
oustandin,1,0,N/A
ethical,1,10644576,C2
confidentiality,1,5473407,N/A
technically,1,3818321,C1
neighbor,1,13643777,N/A
cork,1,5709168,N/A
compared,1,34638205,N/A
covered,1,37662109,N/A
degenerate,1,933500,N/A
gambler,1,1814023,N/A
consult,1,12199508,C1
sanitation,1,3230169,N/A
haul,1,2979364,C2
aluminum,1,14077377,N/A
stealin,1,46689,N/A
commie,1,230073,N/A
stomachache,1,37876,N/A
named,1,34099544,N/A
involf,1,12878082,N/A
hiya,1,442947,N/A
overindulge,1,19727,N/A
rash,1,2806152,C2
itchy,1,1181967,N/A
mutt,1,1301157,N/A
cranky,1,788077,N/A
yankee,1,9253703,N/A
varsity,1,3224750,N/A
esteem,1,3754351,N/A
auditory,1,1706299,N/A
answering,1,6472783,N/A
livelihood,1,2177222,N/A
reissued,1,597758,N/A
pajama,1,696776,N/A
gone,1,34511028,N/A
seen,1,78381896,N/A
babbling,1,386812,N/A
taking,1,70312688,N/A
cds,1,37396357,N/A
baked,1,4716100,N/A
picked,1,12114899,N/A
predicting,1,2320903,N/A
bless,1,5640008,N/A
started,1,77515342,N/A
hung,1,8543618,N/A
tougher,1,1450525,N/A
ginger,1,4939575,N/A
ale,1,4184997,N/A
skull,1,5445452,C2
fell,1,15337043,N/A
claustrophobia,1,90989,N/A
tumor,1,11404046,N/A
bedside,1,1092877,N/A
nostalgia,1,2115900,C2
seeing,1,26322092,N/A
mentor,1,7564733,N/A
helping,1,24402324,N/A
catholic,1,22977620,N/A
handling,1,31623717,N/A
madness,1,5698238,N/A
polish,1,14267798,N/A
boon,1,1244786,N/A
deployed,1,4887317,N/A
ware,1,6510828,N/A
hangin,1,388833,N/A
mentioning,1,1823902,N/A
upscale,1,1809380,N/A
eating,1,21565444,N/A
focus,1,74721938,C2
plowed,1,286245,N/A
theater,1,39928561,N/A
noti,1,174329,N/A
racoon,1,261398,N/A
jimmying,1,0,N/A
rattle,1,1541835,N/A
putty,1,1083484,N/A
snuck,1,274495,N/A
lying,1,8260845,N/A
conniving,1,102139,N/A
needed,1,76528079,N/A
hon,1,10955276,N/A
loved,1,19719299,N/A
legitimate,1,6943337,C2
psychiatric,1,4981598,N/A
driving,1,40033859,N/A
