word,series_frequency,english_frequency,vocabulary_level
was,44,1483428678,N/A
are,41,2395433165,N/A
had,20,480345947,N/A
got,19,145268693,N/A
were,16,570712602,N/A
going,14,155862313,N/A
been,10,575087223,N/A
did,7,275450874,N/A
used,7,421438139,N/A
has,6,1046319984,N/A
made,5,287369575,N/A
getting,5,93506861,N/A
said,4,315595259,N/A
lot,3,150766298,N/A
being,3,248842629,N/A
called,3,106978150,N/A
american,2,254201886,N/A
able,2,109641322,C2
favorite,2,92246870,N/A
women,2,261450772,N/A
seem,2,92129504,N/A
looking,2,150610176,N/A
using,2,269448880,N/A
