word,series_frequency,english_frequency,vocabulary_level
standard,1,229356790,B2
loss,1,97988978,B2
season,1,88480815,B1
act,1,164763850,B1
deal,1,155018212,B2
personal,1,239216761,B1
learning,1,117846796,B2
loan,1,168606882,B1
few,1,135197144,B1
environment,1,115290861,B2
general,1,313944434,B1
none,1,85548408,B1
law,1,261576660,B1
live,1,166005029,B1
community,1,304808312,B2
common,1,123227086,B1
action,1,205281887,B1
lead,1,98832739,B1
unit,1,150226669,B1
electronic,1,180937817,B1
legal,1,142534967,B2
strategy,1,94031020,B2
code,1,284748658,B2
value,1,252007531,B1
experience,1,161263150,B1
government,1,223929975,B1
choice,1,87774404,B1
major,1,127337348,B2
similar,1,119198655,B1
source,1,242521687,B2
setting,1,88410159,B2
social,1,139831307,B1
event,1,326750714,B1
design,1,297404017,B1
cable,1,93394229,B1
link,1,580329194,B1
solution,1,180104309,B1
development,1,302182177,B1
least,1,111229798,B1
