word,series_frequency,english_frequency,vocabulary_level
was,36,1483428678,N/A
got,28,145268693,N/A
are,28,2395433165,N/A
did,23,275450874,N/A
making,14,124399532,N/A
had,12,480345947,N/A
going,12,155862313,N/A
has,11,1046319984,N/A
movy,8,182786913,N/A
been,8,575087223,N/A
made,6,287369575,N/A
being,5,248842629,N/A
done,5,102841314,N/A
lot,5,150766298,N/A
doe,5,321965419,N/A
alway,4,127836367,N/A
said,4,315595259,N/A
based,2,252405204,N/A
called,2,106978150,N/A
become,2,147957513,N/A
looking,2,150610176,N/A
