word,series_frequency,english_frequency,filter_reason,vocabulary_level
aid,58,83178207,Oxford 3000,C1
okay,45,15466771,Easy word (easy_words.csv),N/A
actually,14,69444655,Oxford 3000,A2
guy,12,82889911,Oxford 3000,A2
sorry,12,35595812,Oxford 3000,A1
doing,11,81188350,"High English frequency (81,188,350 > 20,000,000)",N/A
studio,11,50913495,Oxford 3000,B1
mill,10,25569120,"High English frequency (25,569,120 > 20,000,000)",N/A
cool,10,57131174,Oxford 3000,A2
wait,9,41363575,Oxford 3000,A1
hear,8,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
huge,8,70674292,Oxford 3000,B1
break,7,67285982,Oxford 3000,A2
script,7,49886342,Oxford 3000,B2
billion,7,35058259,Oxford 3000,B2
talking,7,36617848,"High English frequency (36,617,848 > 20,000,000)",N/A
saw,6,50570151,"High English frequency (50,570,151 > 20,000,000)",N/A
fine,6,75242969,Oxford 3000,A1
ten,6,50614853,Oxford 3000,A1
happen,6,47239250,Oxford 3000,A2
believe,6,75918053,Oxford 3000,A2
honestly,6,4459891,Easy word (easy_words.csv),B1
listen,6,44504101,Oxford 3000,A1
everything,6,91495139,Oxford 3000,A2
guess,6,29330172,Oxford 3000,A2
nothing,6,73363579,Oxford 3000,A2
coming,5,70099649,"High English frequency (70,099,649 > 20,000,000)",N/A
idea,5,65459222,Oxford 3000,A2
gave,5,36576222,"High English frequency (36,576,222 > 20,000,000)",N/A
exactly,5,31759653,Oxford 3000,A2
nobody,5,14624173,Easy word (easy_words.csv),A2
dollar,5,75411886,Oxford 3000,A1
sense,5,52629633,Oxford 3000,B1
funny,5,34894102,Oxford 3000,A1
trying,5,57462639,"High English frequency (57,462,639 > 20,000,000)",N/A
whole,5,85317360,Oxford 3000,A2
happened,5,24951096,"High English frequency (24,951,096 > 20,000,000)",N/A
excellent,4,60316327,Oxford 3000,A2
cinema,4,18179389,Oxford 3000,A1
replace,4,26487876,Oxford 3000,B1
juice,4,12683377,Oxford 3000,A1
anything,4,75999346,Oxford 3000,A1
seriously,4,14915797,Oxford 3000,B1
wanted,4,63301836,"High English frequency (63,301,836 > 20,000,000)",N/A
heard,4,45436523,"High English frequency (45,436,523 > 20,000,000)",N/A
amazing,4,26630190,Oxford 3000,A2
budget,4,64343440,Oxford 3000,B2
pull,4,22908540,Oxford 3000,A2
absolutely,4,20816571,Oxford 3000,B1
owe,4,4425354,Oxford 3000,B1
heavy,3,37779023,Oxford 3000,A2
regret,3,4855136,Oxford 3000,B1
stand,3,65383320,Oxford 3000,A2
ideas,3,67309657,"High English frequency (67,309,657 > 20,000,000)",N/A
bomb,3,14027919,Easy word (easy_words.csv),B1
overall,3,79608781,Oxford 3000,B2
came,3,73311488,"High English frequency (73,311,488 > 20,000,000)",N/A
worked,3,38128226,"High English frequency (38,128,226 > 20,000,000)",N/A
bought,3,31501377,"High English frequency (31,501,377 > 20,000,000)",N/A
sir,3,20704773,Oxford 3000,B1
strong,3,61017481,Oxford 3000,A2
actor,3,28432814,Oxford 3000,A2
drink,3,40392266,Oxford 3000,A1
wall,3,74268226,Oxford 3000,A1
brother,3,56375413,Oxford 3000,A1
ready,3,62997942,"High English frequency (62,997,942 > 20,000,000)",A1
seem,3,92129504,Oxford 3000,N/A
variety,3,54902084,Oxford 3000,B1
interview,3,55272355,Oxford 3000,B1
exclusive,3,29069478,"High English frequency (29,069,478 > 20,000,000)",B2
famous,3,29332023,Oxford 3000,A1
anymore,3,10494227,Easy word (easy_words.csv),A2
win,3,79848750,Oxford 3000,A2
cause,3,65904680,Oxford 3000,B2
