word,series_frequency,english_frequency,vocabulary_level
literally,2,7123178,B2
deadline,2,16660522,B2
optimistic,2,2791411,B2
suicide,2,11774872,B2
decisive,2,1908846,B2
diverse,2,13432331,B2
thrilled,2,2043399,B2
stab,2,1914035,B2
sob,2,1057992,B2
bang,1,18750559,B2
eyebrow,1,1961131,B2
thoughtful,1,2762623,B2
considering,1,17699280,B2
idiot,1,6496256,B2
importantly,1,5797467,B2
instantly,1,10691970,B2
punch,1,8185047,B2
entertaining,1,6330073,B2
torch,1,4451070,B2
tomb,1,4637192,B2
weird,1,11590681,B2
swan,1,5829215,B2
