word,series_frequency,english_frequency,vocabulary_level
nigger,13,915619,N/A
deputy,11,15219244,C1
bust,6,5258179,N/A
homicide,5,2104421,N/A
lieutenant,4,4186167,N/A
squad,4,9722053,C2
courthouse,4,2347505,N/A
sitting,3,18868156,N/A
courtroom,3,1832191,N/A
defendant,3,17058270,N/A
booth,3,9307763,N/A
knocked,3,2576160,N/A
seated,3,3127196,N/A
narcotic,3,2650674,N/A
dea,3,1986635,N/A
knowing,3,14410719,N/A
pit,3,10619913,C2
alley,2,5087439,N/A
shooter,2,5008172,N/A
pal,2,12781647,N/A
employed,2,19450139,N/A
beating,2,5235058,N/A
detectif,2,1417524,N/A
stairwell,2,334545,N/A
dope,2,1527288,N/A
dropped,2,12265666,N/A
promised,2,7162874,N/A
hooked,2,3261622,N/A
kinda,2,5660928,N/A
downhill,2,2191342,C2
fell,2,15337043,N/A
mope,2,54887,N/A
dob,2,1209643,N/A
caught,2,17749748,N/A
decomp,2,39760,N/A
iike,2,0,N/A
pulled,2,10724879,N/A
ops,2,4294947,N/A
uptown,2,1677197,N/A
surveillance,2,10350424,N/A
expecting,2,4908583,N/A
mic,2,6667667,N/A
manpower,2,2371829,N/A
