word,series_frequency,english_frequency,vocabulary_level
mama,1,5042818,N/A
christening,1,1332232,N/A
whipped,1,1869632,N/A
whip,1,4308941,N/A
rolling,1,15125241,N/A
snatch,1,2494449,C2
hisself,1,31084,N/A
stole,1,3091656,N/A
grand,1,57003112,C1
juried,1,313547,N/A
excused,1,1359136,N/A
fremont,1,3075952,N/A
waiting,1,30170505,N/A
elevator,1,5679738,N/A
testified,1,3253479,N/A
blanchard,1,1331166,N/A
looked,1,31988351,N/A
spoke,1,12161949,N/A
wrote,1,56421594,N/A
treated,1,22718161,N/A
turned,1,34215128,N/A
eyewitness,1,1355007,N/A
paying,1,19621495,N/A
chauffeur,1,991122,N/A
heated,1,5694239,N/A
tiff,1,3123894,N/A
seeing,1,26322092,N/A
carv,1,85714,N/A
pant,1,19912941,N/A
circuit,1,33471189,C2
madame,1,2406665,N/A
forelady,1,0,N/A
unanimous,1,2520971,C2
verdict,1,3732912,C2
daddy,1,9928046,N/A
thanked,1,2044216,N/A
pre,1,74275643,N/A
processing,1,55499899,N/A
chalking,1,71978,N/A
asked,1,75532722,N/A
happened,1,24951096,N/A
thrill,1,3715217,C1
pad,1,22130354,N/A
scaring,1,410897,N/A
wee,1,3319172,N/A
stinkum,1,0,N/A
clearing,1,6145765,N/A
coke,1,3602704,N/A
policing,1,2527931,N/A
millennium,1,8825598,C2
gone,1,34511028,N/A
corona,1,2806095,N/A
ignorant,1,2724458,C2
jerk,1,3534323,N/A
bangin,1,316834,N/A
throwing,1,5200541,N/A
mouthful,1,682811,N/A
trickle,1,786102,N/A
charmer,1,305566,N/A
deterrent,1,993934,C2
heroic,1,2032242,C1
brutality,1,971615,N/A
pager,1,2717991,N/A
bet,1,19562562,C1
moldering,1,13511,N/A
honorable,1,3346100,N/A
indulge,1,1651032,C2
occasional,1,6424555,C1
filed,1,30734097,N/A
scrambling,1,747235,N/A
willing,1,18418634,C2
jay,1,19237910,N/A
drinking,1,18160233,N/A
whoring,1,142295,N/A
picked,1,12114899,N/A
poe,1,2455642,N/A
sergeant,1,3409151,N/A
backstabbing,1,73303,N/A
shitbag,1,0,N/A
lrish,1,0,N/A
answering,1,6472783,N/A
supposedly,1,2900944,C1
charged,1,21377577,N/A
courtyard,1,5314163,N/A
insubordinate,1,36397,N/A
undivided,1,466636,N/A
typing,1,6581237,N/A
typos,1,1067335,N/A
barn,1,7175453,C2
eastside,1,889783,N/A
beefing,1,95737,N/A
wondering,1,9239585,N/A
slick,1,2528572,N/A
inviting,1,2822014,N/A
bum,1,2005525,N/A
cop,1,9737327,N/A
knocking,1,1630521,N/A
sat,1,70997818,N/A
pooh,1,3606264,N/A
stair,1,6483117,N/A
dumb,1,5409969,C1
thinking,1,41347669,N/A
def,1,16254361,N/A
quieter,1,719364,N/A
doc,1,40035156,N/A
frazier,1,1135102,N/A
popped,1,1705400,N/A
speaking,1,23813045,N/A
stink,1,1403162,N/A
busted,1,1704787,N/A
noble,1,13363512,C1
selfless,1,381653,N/A
lay,1,17973216,N/A
personnel,1,33341291,C1
headquarter,1,11732370,N/A
marine,1,40971252,N/A
diesel,1,13434777,C1
fume,1,1606878,N/A
seasick,1,95193,N/A
riding,1,15435415,N/A
eggy,1,44364,N/A
tester,1,6572102,N/A
picking,1,6102267,N/A
counting,1,8122357,N/A
holding,1,35015197,N/A
shitstorm,1,12883,N/A
leastway,1,0,N/A
chump,1,346172,N/A
gig,1,9498518,N/A
snapping,1,662153,N/A
paid,1,60294928,N/A
tightening,1,1001614,N/A
shortcut,1,10094000,N/A
burnt,1,3221640,N/A
hamilton,1,17662283,N/A
tender,1,11744243,C2
serving,1,32312647,N/A
vine,1,5598269,C1
sucking,1,10301698,N/A
yelling,1,1395556,N/A
slamming,1,657644,N/A
scam,1,6974396,N/A
beige,1,4316142,N/A
recorder,1,19818598,N/A
entity,1,28891357,C2
watched,1,10266154,N/A
cid,1,1913384,N/A
deu,1,616226,N/A
sending,1,20622624,N/A
mouthed,1,401042,N/A
talked,1,9582713,N/A
surpris,1,2485526,N/A
briefed,1,811483,N/A
escort,1,16975528,N/A
nowaday,1,2547379,N/A
informant,1,1320543,N/A
fiber,1,18943552,N/A
optic,1,12175755,N/A
lensing,1,191183,N/A
drywall,1,1099391,N/A
baseboard,1,333449,N/A
duct,1,3839890,N/A
followed,1,31437587,N/A
backing,1,5447072,C2
dominican,1,9311432,N/A
transferred,1,11023998,N/A
counterterrorism,1,564895,N/A
pending,1,12509596,N/A
chill,1,5215588,C2
dropping,1,5094616,N/A
rewind,1,1339330,N/A
burned,1,4993504,N/A
ave,1,35099416,N/A
expressway,1,1227670,N/A
keeping,1,25280309,N/A
manufactured,1,9345751,N/A
asset,1,48481339,C1
gathering,1,12907959,C1
wired,1,8371548,N/A
told,1,57248600,N/A
calling,1,30005364,N/A
owned,1,35050234,N/A
knew,1,31636418,N/A
mastermind,1,864671,N/A
prosecutor,1,5493078,C2
prosecution,1,5656733,C2
sprawl,1,1028239,N/A
llene,1,0,N/A
visitation,1,2503463,N/A
flex,1,5942343,N/A
shortlist,1,2725598,N/A
kwai,1,357219,N/A
touched,1,5080398,N/A
footnote,1,6103611,N/A
closet,1,5534381,N/A
drove,1,5545848,N/A
lit,1,7096253,N/A
carcass,1,1261498,N/A
cleaned,1,4560058,N/A
leaving,1,23878642,N/A
supposed,1,14497557,N/A
clothe,1,27345816,N/A
locked,1,10837051,N/A
downtown,1,20983220,N/A
amity,1,540428,N/A
casing,1,1879082,N/A
buddy,1,28145735,N/A
favor,1,18267074,N/A
