word,series_frequency,english_frequency,vocabulary_level
rate,1,344723717,B2
statement,1,135285872,B2
step,1,124401569,B1
release,1,125340846,B2
living,1,107270041,B2
power,1,246570236,B1
community,1,304808312,B2
care,1,230084008,B1
trade,1,117975699,B1
stock,1,197746908,B2
credit,1,208258495,B1
natural,1,112420500,B1
reference,1,164876016,B2
figure,1,114181526,B1
public,1,349615053,B1
career,1,118593195,B1
control,1,245401760,B1
personal,1,239216761,B1
local,1,274425438,B1
review,1,646751881,B1
detail,1,326322175,B1
due,1,108366874,B1
