word,series_frequency,english_frequency,vocabulary_level
terrace,6,8399984,B2
bust,6,5258179,B2
homicide,5,2104421,B2
courthouse,4,2347505,B2
dee,4,5641266,B2
courtroom,3,1832191,B2
defendant,3,17058270,B2
booth,3,9307763,B2
lobby,3,7284421,B2
seated,3,3127196,B2
knowing,3,14410719,B2
shooter,2,5008172,B2
employed,2,19450139,B2
beating,2,5235058,B2
ease,2,13974702,B2
jury,2,11599368,B2
stairwell,2,334545,B2
dope,2,1527288,B2
rip,2,8720196,B2
promised,2,7162874,B2
hooked,2,3261622,B2
mope,2,54887,B2
ops,2,4294947,B2
uptown,2,1677197,B2
expecting,2,4908583,B2
manpower,2,2371829,B2
