word,series_frequency,english_frequency,vocabulary_level
was,48,1483428678,N/A
got,40,145268693,N/A
are,21,2395433165,N/A
were,15,570712602,N/A
been,14,575087223,N/A
had,12,480345947,N/A
said,12,315595259,N/A
did,9,275450874,N/A
being,8,248842629,N/A
alway,6,127836367,N/A
looking,5,150610176,N/A
made,4,287369575,N/A
going,4,155862313,N/A
men,4,196195250,N/A
has,4,1046319984,N/A
lot,4,150766298,N/A
used,3,421438139,N/A
children,2,214638176,N/A
women,2,261450772,N/A
getting,2,93506861,N/A
making,2,124399532,N/A
self,2,113959886,C1
able,2,109641322,C2
