word,series_frequency,english_frequency,vocabulary_level
release,1,125340846,B2
court,1,146511680,B1
provide,1,290254685,B1
career,1,118593195,B1
trade,1,117975699,B1
press,1,182076415,B1
option,1,199396630,B1
comment,1,436187177,B1
apply,1,92945350,B1
specific,1,115025683,B2
location,1,269714320,B1
known,1,86436041,B2
payment,1,177403310,B2
description,1,213558682,B1
period,1,124198539,B1
agency,1,126580278,B1
port,1,97223577,B1
though,1,91929439,B1
cable,1,93394229,B1
control,1,245401760,B1
care,1,230084008,B1
sex,1,322005449,B1
link,1,580329194,B1
compare,1,186642026,B1
rule,1,155571063,B1
opinion,1,89173988,B1
public,1,349615053,B1
brand,1,134504942,B2
discussion,1,143959160,B1
net,1,121614179,B1
