word,series_frequency,english_frequency,vocabulary_level
horn,4,10468945,B2
mayor,3,15962475,B2
judgment,1,18456411,B2
ambassador,1,7363292,B2
creativity,1,7625520,B2
tabloid,1,1173959,B2
adventurous,1,1398567,B2
terror,1,12378676,B2
roommate,1,11615558,B2
approximate,1,7262775,B2
coastal,1,14166791,B2
punch,1,8185047,B2
landing,1,9989426,B2
abandoned,1,6371760,B2
timing,1,11882698,B2
absence,1,15758790,B2
subway,1,4421260,B2
corridor,1,6317194,B2
rush,1,15401052,B2
lifetime,1,14825369,B2
journalism,1,8044099,B2
chew,1,2712025,B2
blade,1,16974849,B2
winding,1,2868918,B2
scar,1,3719303,B2
