word,series_frequency,english_frequency,vocabulary_level
was,50,1483428678,N/A
got,36,145268693,N/A
had,15,480345947,N/A
are,13,2395433165,N/A
said,11,315595259,N/A
were,9,570712602,N/A
been,8,575087223,N/A
lot,8,150766298,N/A
called,7,106978150,N/A
did,7,275450874,N/A
men,4,196195250,N/A
made,4,287369575,N/A
used,3,421438139,N/A
doe,3,321965419,N/A
making,3,124399532,N/A
going,3,155862313,N/A
log,2,119174402,C1
alway,2,127836367,N/A
self,2,113959886,C1
getting,2,93506861,N/A
looking,2,150610176,N/A
children,2,214638176,N/A
has,2,1046319984,N/A
