word,series_frequency,english_frequency,vocabulary_level
previous,1,201692678,B1
search,1,1081663131,B1
category,1,340667095,B2
society,1,120479144,B1
chapter,1,100697284,B1
support,1,402426463,B1
human,1,173302782,B1
law,1,261576660,B1
experience,1,161263150,B1
total,1,233000421,B1
deal,1,155018212,B2
major,1,127337348,B2
drug,1,118251576,B2
basic,1,97156959,B1
personal,1,239216761,B1
figure,1,114181526,B1
account,1,245941633,B1
security,1,252411152,B1
within,1,261390908,B1
service,1,1081744026,B1
front,1,102871721,B1
net,1,121614179,B1
release,1,125340846,B2
store,1,432519343,B1
force,1,113500318,B2
such,1,380740926,B2
legal,1,142534967,B2
event,1,326750714,B1
public,1,349615053,B1
