word,series_frequency,english_frequency,vocabulary_level
dolore,15,1461057,N/A
teddy,11,6300478,N/A
newcomer,6,3241168,N/A
bernard,6,7512270,N/A
supposed,5,14497557,N/A
sheriff,4,6292962,N/A
revery,4,87936,N/A
bernie,4,1923481,N/A
abernathy,4,327612,N/A
headed,3,10058504,N/A
hector,3,1853371,N/A
gunned,3,249196,N/A
marshal,3,2469793,N/A
gesture,3,3544213,C1
diagnostic,3,14932491,N/A
storyline,3,1909339,N/A
mama,3,5042818,N/A
walter,3,14337153,N/A
questioned,2,3747297,N/A
ugliness,2,249418,N/A
disarray,2,302186,N/A
splendor,2,1270586,N/A
paying,2,19621495,N/A
murderous,2,757472,N/A
escaton,2,0,N/A
holed,2,259059,N/A
mettle,2,208525,N/A
rind,2,496092,N/A
offense,2,8248745,N/A
chivalrous,2,91761,N/A
understood,2,11962620,N/A
cowboy,2,11486583,N/A
meant,2,17832930,N/A
gratify,2,126415,N/A
lifelike,2,416746,N/A
telling,2,14181895,N/A
overdue,2,1463329,N/A
livestock,2,6843285,N/A
decommission,2,91163,N/A
dreamless,2,42683,N/A
slumber,2,819190,N/A
bandit,2,2220450,N/A
aberrant,2,368866,N/A
kissy,2,111416,N/A
isolated,2,9421703,C1
homicidal,2,213955,N/A
improvisation,2,1135521,N/A
saloon,2,3142509,N/A
indulge,2,1651032,C2
deeper,2,6910132,N/A
sweetheart,2,2157453,N/A
shakespeare,2,8435300,N/A
