word,series_frequency,english_frequency,vocabulary_level
following,1,221359876,B2
standard,1,229356790,B2
review,1,646751881,B1
specific,1,115025683,B2
working,1,148966565,B1
few,1,135197144,B1
version,1,257150986,B2
figure,1,114181526,B1
experience,1,161263150,B1
control,1,245401760,B1
benefit,1,124284471,B1
career,1,118593195,B1
management,1,304368918,B2
account,1,245941633,B1
search,1,1081663131,B1
method,1,172297208,B1
within,1,261390908,B1
either,1,99143011,B1
product,1,813493987,B1
tool,1,250565605,B2
deal,1,155018212,B2
event,1,326750714,B1
least,1,111229798,B1
policy,1,472193707,B2
previous,1,201692678,B1
mile,1,122191270,B1
current,1,220295284,B2
such,1,380740926,B2
living,1,107270041,B2
brand,1,134504942,B2
