word,series_frequency,english_frequency,vocabulary_level
newcomer,6,3241168,B2
supposed,5,14497557,B2
sheriff,4,6292962,B2
gunned,3,249196,B2
marshal,3,2469793,B2
storyline,3,1909339,B2
questioned,2,3747297,B2
disarray,2,302186,B2
splendor,2,1270586,B2
holed,2,259059,B2
offense,2,8248745,B2
affection,2,2914109,B2
understood,2,11962620,B2
cowboy,2,11486583,B2
gratify,2,126415,B2
lifelike,2,416746,B2
overdue,2,1463329,B2
livestock,2,6843285,B2
cherry,2,14497792,B2
bandit,2,2220450,B2
saloon,2,3142509,B2
deeper,2,6910132,B2
sweetheart,2,2157453,B2
