word,series_frequency,english_frequency,filter_reason,vocabulary_level
uncle,19,8649726,Oxford 3000,A2
guy,16,82889911,Oxford 3000,A2
dad,13,16837773,Easy word (easy_words.csv),A1
tony,13,24125600,"High English frequency (24,125,600 > 20,000,000)",N/A
duck,12,11897882,Vocabulary level below C (A2),A2
mother,12,66782465,Oxford 3000,A1
birthday,9,33891046,Oxford 3000,A1
feeling,8,37845806,Easy word (easy_words.csv),B1
junior,8,31761553,Oxford 3000,B2
came,7,73311488,"High English frequency (73,311,488 > 20,000,000)",N/A
told,7,57248600,"High English frequency (57,248,600 > 20,000,000)",N/A
brother,7,56375413,Oxford 3000,A1
listen,7,44504101,Oxford 3000,A1
father,6,54388623,Oxford 3000,A1
bird,6,49130879,Oxford 3000,A1
talking,6,36617848,"High English frequency (36,617,848 > 20,000,000)",N/A
door,6,76868330,Oxford 3000,A1
shut,6,12663576,Oxford 3000,A2
okay,6,15466771,Easy word (easy_words.csv),N/A
nursing,6,37822746,"High English frequency (37,822,746 > 20,000,000)",N/A
eat,6,32034082,Oxford 3000,A1
mom,6,39068727,"High English frequency (39,068,727 > 20,000,000)",N/A
morning,5,55268727,Oxford 3000,A1
daughter,5,33796898,Oxford 3000,A1
wife,5,47510357,Oxford 3000,A1
doctor,5,58058321,Oxford 3000,A1
nothing,5,73363579,Oxford 3000,A2
coming,5,70099649,"High English frequency (70,099,649 > 20,000,000)",N/A
doing,5,81188350,"High English frequency (81,188,350 > 20,000,000)",N/A
sorry,5,35595812,Oxford 3000,A1
dark,5,50740032,Oxford 3000,A1
depressed,5,3358586,Oxford 3000,B1
attack,4,55851080,Oxford 3000,B1
maybe,4,51946944,Oxford 3000,A2
build,4,83635409,Oxford 3000,A2
trying,4,57462639,"High English frequency (57,462,639 > 20,000,000)",N/A
fly,4,33412987,Oxford 3000,A1
tower,4,28125182,Oxford 3000,B1
happened,4,24951096,"High English frequency (24,951,096 > 20,000,000)",N/A
somebody,4,11159741,Easy word (easy_words.csv),A2
understand,4,65846056,Oxford 3000,A1
generation,4,47131868,Oxford 3000,B1
nice,4,69395609,Oxford 3000,A1
beautiful,4,58503804,Oxford 3000,A1
panic,3,6649224,Vocabulary level below C (B2),B2
cause,3,65904680,Oxford 3000,B2
thinking,3,41347669,Oxford 3000,N/A
late,3,65998289,Oxford 3000,A1
lately,3,5574422,Vocabulary level below C (B1),B1
couple,3,58208821,Oxford 3000,B1
pool,3,60024599,Oxford 3000,A2
happy,3,63486618,Oxford 3000,A1
mind,3,84923564,Oxford 3000,B1
bought,3,31501377,"High English frequency (31,501,377 > 20,000,000)",N/A
hear,3,49163786,"High English frequency (49,163,786 > 20,000,000)",A1
saying,3,38415068,Easy word (easy_words.csv),C2
ahead,3,28375319,Oxford 3000,B1
chris,3,44754518,"High English frequency (44,754,518 > 20,000,000)",N/A
tonight,3,20720362,Oxford 3000,A1
cousin,3,6460959,Oxford 3000,A2
blow,3,33901158,Oxford 3000,B1
lunch,3,22097455,Oxford 3000,A1
went,3,68130142,"High English frequency (68,130,142 > 20,000,000)",N/A
saint,3,45833660,"High English frequency (45,833,660 > 20,000,000)",C1
grandma,3,3450933,Vocabulary level below C (A2),A2
felt,3,33507506,"High English frequency (33,507,506 > 20,000,000)",N/A
gave,3,36576222,"High English frequency (36,576,222 > 20,000,000)",N/A
goe,3,47478275,"High English frequency (47,478,275 > 20,000,000)",N/A
die,3,54277728,Oxford 3000,A1
sausage,3,3599611,Vocabulary level below C (A2),A2
hold,3,82741121,Oxford 3000,A2
suppose,3,11981451,Oxford 3000,C1
whatever,3,31901912,Oxford 3000,B1
dead,3,48412882,Oxford 3000,A2
hope,3,83608473,Oxford 3000,A2
depression,3,15861026,Vocabulary level below C (B2),B2
trip,3,65448610,Oxford 3000,A2
sad,3,13029702,Oxford 3000,A1
everybody,3,14705200,Oxford 3000,A2
drop,3,45620690,Oxford 3000,B1
hate,3,23308836,Oxford 3000,A2
jesus,3,34929061,"High English frequency (34,929,061 > 20,000,000)",N/A
seat,2,46137154,Oxford 3000,A2
physician,2,33643902,"High English frequency (33,643,902 > 20,000,000)",N/A
blood,2,61544877,Oxford 3000,A2
agree,2,54812386,Oxford 3000,A2
fine,2,75242969,Oxford 3000,A1
waste,2,44621034,Oxford 3000,B1
stress,2,28441328,Oxford 3000,B1
ground,2,73622412,Oxford 3000,B1
wild,2,40270633,Oxford 3000,A2
brain,2,37025785,Oxford 3000,A2
christmas,2,68724403,"High English frequency (68,724,403 > 20,000,000)",N/A
saw,2,50570151,"High English frequency (50,570,151 > 20,000,000)",N/A
miss,2,42906521,Oxford 3000,A1
nephew,2,2513731,Vocabulary level below C (B1),B1
himself,2,39757666,Oxford 3000,A2
fellow,2,20549095,Oxford 3000,B2
coffee,2,42858323,Oxford 3000,A1
broken,2,31399439,Oxford 3000,A2
boss,2,16262055,Oxford 3000,A2
changing,2,32076618,"High English frequency (32,076,618 > 20,000,000)",N/A
situation,2,59151157,Oxford 3000,B1
wet,2,24090751,Oxford 3000,A2
ruin,2,6039110,Easy word (easy_words.csv),B1
remember,2,84324100,Oxford 3000,A1
stuff,2,82013389,Oxford 3000,B1
died,2,35803272,"High English frequency (35,803,272 > 20,000,000)",N/A
worry,2,16187062,Oxford 3000,A2
wheelchair,2,5710244,Vocabulary level below C (B1),B1
