word,series_frequency,english_frequency,vocabulary_level
panic,3,6649224,B2
depression,3,15861026,B2
confess,2,2158634,B2
pride,1,14924461,B2
renew,1,6945811,B2
nationwide,1,15932624,B2
frankly,1,3169461,B2
tremendous,1,6136813,B2
occupy,1,3609337,B2
idiot,1,6496256,B2
microphone,1,10126407,B2
encouraging,1,7187031,B2
suburb,1,7924873,B2
laundry,1,9453573,B2
anxiety,1,9978147,B2
shrink,1,3686296,B2
consciousness,1,7462174,B2
satisfaction,1,19766524,B2
squeeze,1,3015480,B2
exhaustion,1,1111143,B2
sadness,1,1906141,B2
appreciation,1,7349623,B2
rebel,1,9931687,B2
paperwork,1,3026360,B2
unacceptable,1,3092460,B2
existence,1,15971680,B2
faulty,1,2125277,B2
recession,1,1817664,B2
peculiar,1,2485776,B2
